config_id,airframe_id,airframe,purchase_type,airframe_mass_g,prop_in,wheelbase_mm,battery,chemistry,cells_s,capacity_mah,pack_voltage_v,usable_dod,battery_mass_g,battery_energy_wh,usable_energy_wh,thermal_id,thermal_name,thermal_mass_g,thermal_power_w,sbc_id,sbc_name,sbc_mass_g,sbc_power_w,dvr_id,dvr_name,dvr_mass_g,dvr_power_w,vtx_id,vtx_name,vtx_source,vtx_mass_g,vtx_power_w,fpv_id,fpv_name,fpv_source,fpv_mass_g,fpv_power_w,gps_id,gps_name,gps_source,gps_mass_g,gps_power_w,rx_id,rx_name,rx_source,rx_mass_g,rx_power_w,added_payload_mass_g,total_payload_power_w,all_up_mass_g,hover_power_w,cruise_power_w,headwind_power_w,max_flight_time_hover_min,flight_time_cruise_min,flight_time_headwind_min,hover_throttle_pct,meets_r6_30min,meets_r8_60min,flyable,sbc_dims_mm,deck_lxw_mm,deck_margin_mm,battery_mount,battery_lwh_mm,payload_capacity_g,payload_weight_g,sbc_fits_deck,sbc_fit_status,payload_weight_ok,physical_fit_note,airframe_cost_usd,battery_cost_usd,thermal_cost_usd,sbc_cost_usd,dvr_cost_usd,vtx_cost_usd,fpv_cost_usd,gps_cost_usd,rx_cost_usd,drone_cost_usd,video_format,gcs_vrx_name,gcs_vrx_cost,gcs_cost_usd,total_system_cost_usd,endurance_per_1000usd,meets_budget_r4
C000001,AF3a,iFlight Chimera9 ECO,PNP,729.0,9.0,405.0,Lumenier NAV 10000mAh 6S 21700 Li-Ion,Li-ion,6,10000.0,22.2,0.85,975.0,222.0,188.7,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,DVR9,Monster UVC Recorder (standalone USB-UVC DVR),60.0,2.5,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,included,bundled with airframe,included,0.0,0.25,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,101.7,16.85,1805.7,242.8,236.7,198.2,46.6,47.8,57.1,15.4,True,False,True,90x62,110x70,8.0,top,125x40x70,5145.0,1076.7,True,fits,True,fits (SBC on a raised tier; battery on deck) — 8 mm spare,385.99,149.99,590.0,126.0,129.0,0.0,0.0,0.0,14.99,1395.97,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,45.0,171.0,1566.97,29.76,True
C000002,AF3a,iFlight Chimera9 ECO,PNP,729.0,9.0,405.0,Upgrade Energy GREEN V1 6S2P 10Ah Samsung 50S,Li-ion,6,10000.0,21.6,0.85,900.0,216.0,183.6,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,DVR9,Monster UVC Recorder (standalone USB-UVC DVR),60.0,2.5,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,included,bundled with airframe,included,0.0,0.25,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,101.7,16.85,1730.7,228.9,222.9,185.7,48.1,49.4,59.3,14.8,True,False,True,90x62,110x70,8.0,top,125x40x70,5145.0,1001.7,True,fits,True,fits (SBC on a raised tier; battery on deck) — 8 mm spare,385.99,269.99,590.0,126.0,129.0,0.0,0.0,0.0,14.99,1515.97,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,45.0,171.0,1686.97,28.53,True
C000003,AF3a,iFlight Chimera9 ECO,PNP,729.0,9.0,405.0,Upgrade Energy RED V3 6S2P 10Ah Molicel P50B,Li-ion,6,10000.0,21.6,0.85,868.0,216.0,183.6,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,DVR9,Monster UVC Recorder (standalone USB-UVC DVR),60.0,2.5,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,included,bundled with airframe,included,0.0,0.25,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,101.7,16.85,1698.7,223.0,217.1,180.5,49.4,50.7,61.0,14.5,True,False,True,90x62,110x70,8.0,top,125x40x70,5145.0,969.7,True,fits,True,fits (SBC on a raised tier; battery on deck) — 8 mm spare,385.99,252.0,590.0,126.0,129.0,0.0,0.0,0.0,14.99,1497.98,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,45.0,171.0,1668.98,29.6,True
C000004,AF3a,iFlight Chimera9 ECO,PNP,729.0,9.0,405.0,GNB 8000mAh 6S2P Samsung 21700 40T,Li-ion,6,8000.0,22.2,0.85,904.0,177.6,151.0,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,DVR9,Monster UVC Recorder (standalone USB-UVC DVR),60.0,2.5,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,included,bundled with airframe,included,0.0,0.25,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,101.7,16.85,1734.7,229.6,223.6,186.4,39.4,40.5,48.6,14.8,True,False,True,90x62,110x70,8.0,top,125x40x70,5145.0,1005.7,True,fits,True,fits (SBC on a raised tier; battery on deck) — 8 mm spare,385.99,135.99,590.0,126.0,129.0,0.0,0.0,0.0,14.99,1381.97,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,45.0,171.0,1552.97,25.4,True
C000005,AF3a,iFlight Chimera9 ECO,PNP,729.0,9.0,405.0,iFlight Fullsend 6S 8000mAh EVE INR21700-40PL,Li-ion,6,8000.0,22.2,0.85,840.0,177.6,151.0,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,DVR9,Monster UVC Recorder (standalone USB-UVC DVR),60.0,2.5,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,included,bundled with airframe,included,0.0,0.25,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,101.7,16.85,1670.7,217.9,212.1,176.0,41.6,42.7,51.5,14.2,True,False,True,90x62,110x70,8.0,top,125x40x70,5145.0,941.7,True,fits,True,fits (SBC on a raised tier; battery on deck) — 8 mm spare,385.99,122.99,590.0,126.0,129.0,0.0,0.0,0.0,14.99,1368.97,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,45.0,171.0,1539.97,26.99,True
C000006,AF3a,iFlight Chimera9 ECO,PNP,729.0,9.0,405.0,Upgrade Energy GREEN V2 6S2P 8Ah Amprius SA10,Li-ion,6,8000.0,21.6,0.85,617.0,172.8,146.9,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,DVR9,Monster UVC Recorder (standalone USB-UVC DVR),60.0,2.5,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,included,bundled with airframe,included,0.0,0.25,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,101.7,16.85,1447.7,179.1,173.6,141.7,49.2,50.8,62.2,12.3,True,False,True,90x62,110x70,8.0,top,110x20x65,5145.0,718.7,True,fits,True,fits (SBC on a raised tier; battery on deck) — 8 mm spare,385.99,194.0,590.0,126.0,129.0,0.0,0.0,0.0,14.99,1439.98,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,45.0,171.0,1610.98,30.55,True
C000007,AF3a,iFlight Chimera9 ECO,PNP,729.0,9.0,405.0,Lumenier NAV 12000mAh 6S 21700 XT90,Li-ion,6,12000.0,22.2,0.85,1402.0,266.4,226.4,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,DVR9,Monster UVC Recorder (standalone USB-UVC DVR),60.0,2.5,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,included,bundled with airframe,included,0.0,0.25,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,101.7,16.85,2232.7,327.5,320.7,275.4,41.5,42.4,49.3,19.0,True,False,True,90x62,110x70,8.0,top,125x65x70,5145.0,1503.7,True,fits,True,fits (SBC on a raised tier; battery on deck) — 8 mm spare,385.99,189.99,590.0,126.0,129.0,0.0,0.0,0.0,14.99,1435.97,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,45.0,171.0,1606.97,25.81,True
C000008,AF3a,iFlight Chimera9 ECO,PNP,729.0,9.0,405.0,Lumenier NAV 12000mAh 6S 21700 Amprius,Li-ion,6,12000.0,22.2,0.85,920.0,266.4,226.4,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,DVR9,Monster UVC Recorder (standalone USB-UVC DVR),60.0,2.5,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,included,bundled with airframe,included,0.0,0.25,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,101.7,16.85,1750.7,232.6,226.5,189.0,58.4,60.0,71.9,14.9,True,False,True,90x62,110x70,8.0,top,125x40x70,5145.0,1021.7,True,fits,True,fits (SBC on a raised tier; battery on deck) — 8 mm spare,385.99,321.49,590.0,126.0,129.0,0.0,0.0,0.0,14.99,1567.47,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,45.0,171.0,1738.47,33.61,True
C000009,AF3a,iFlight Chimera9 ECO,PNP,729.0,9.0,405.0,Upgrade Energy GREEN V2 6S3P 12Ah Amprius SA10,Li-ion,6,12000.0,21.6,0.85,919.0,259.2,220.3,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,DVR9,Monster UVC Recorder (standalone USB-UVC DVR),60.0,2.5,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,included,bundled with airframe,included,0.0,0.25,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,101.7,16.85,1749.7,232.4,226.4,188.9,56.9,58.4,70.0,14.9,True,False,True,90x62,110x70,8.0,top,110x35x65,5145.0,1020.7,True,fits,True,fits (SBC on a raised tier; battery on deck) — 8 mm spare,385.99,275.0,590.0,126.0,129.0,0.0,0.0,0.0,14.99,1520.98,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,45.0,171.0,1691.98,33.62,True
C000010,AF3a,iFlight Chimera9 ECO,PNP,729.0,9.0,405.0,Pyrodrone Hyperjuice 6S2P 6000mAh Sony VTC6,Li-ion,6,6000.0,22.2,0.85,590.0,133.2,113.2,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,DVR9,Monster UVC Recorder (standalone USB-UVC DVR),60.0,2.5,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,included,bundled with airframe,included,0.0,0.25,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,101.7,16.85,1420.7,174.5,169.2,137.7,38.9,40.2,49.3,12.1,True,False,True,90x62,110x70,8.0,top,110x35x65,5145.0,691.7,True,fits,True,fits (SBC on a raised tier; battery on deck) — 8 mm spare,385.99,172.99,590.0,126.0,129.0,0.0,0.0,0.0,14.99,1418.97,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,45.0,171.0,1589.97,24.48,True
