rank,endurance_per_1000usd,max_flight_time_hover_min,airframe_id,airframe,battery,cells_s,all_up_mass_g,hover_throttle_pct,thermal,sbc,dvr,vtx,fpv_cam,gps,rx,video_format,ground_receiver,sbc_fit_status,deck_lxw_mm,sbc_dims_mm,battery_mount,physical_fit_note,drone_cost_usd,gcs_cost_usd,total_system_cost_usd,meets_budget_r4,meets_r6_30min,meets_r8_60min
1,33.89,55.9,AF4a,DarwinFPV X9,Upgrade Energy GREEN V2 6S3P 12Ah Amprius SA10,6,1771.7,13.6,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),Monster UVC Recorder (standalone USB-UVC DVR) (DVR9),included with airframe,included with airframe,TBS M10 GPS (G6),GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,marginal,100x60,90x62,top,"marginal: SBC 90x62 vs deck 100x60 mm (-2 mm) — snug/custom deck, slight overhang",1478.98,171.0,1649.98,True,True,False
2,33.85,57.4,AF4a,DarwinFPV X9,Lumenier NAV 12000mAh 6S 21700 Amprius,6,1772.7,13.7,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),Monster UVC Recorder (standalone USB-UVC DVR) (DVR9),included with airframe,included with airframe,TBS M10 GPS (G6),GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,marginal,100x60,90x62,top,"marginal: SBC 90x62 vs deck 100x60 mm (-2 mm) — snug/custom deck, slight overhang",1525.47,171.0,1696.47,True,True,False
3,33.62,56.9,AF3a,iFlight Chimera9 ECO,Upgrade Energy GREEN V2 6S3P 12Ah Amprius SA10,6,1749.7,14.9,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),Monster UVC Recorder (standalone USB-UVC DVR) (DVR9),included with airframe,included with airframe,included with airframe,GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,fits,110x70,90x62,top,fits (SBC on a raised tier; battery on deck) — 8 mm spare,1520.98,171.0,1691.98,True,True,False
4,33.61,58.4,AF3a,iFlight Chimera9 ECO,Lumenier NAV 12000mAh 6S 21700 Amprius,6,1750.7,14.9,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),Monster UVC Recorder (standalone USB-UVC DVR) (DVR9),included with airframe,included with airframe,included with airframe,GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,fits,110x70,90x62,top,fits (SBC on a raised tier; battery on deck) — 8 mm spare,1567.47,171.0,1738.47,True,True,False
5,30.74,48.2,AF4a,DarwinFPV X9,Upgrade Energy GREEN V2 6S2P 8Ah Amprius SA10,6,1469.7,11.3,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),Monster UVC Recorder (standalone USB-UVC DVR) (DVR9),included with airframe,included with airframe,TBS M10 GPS (G6),GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,marginal,100x60,90x62,top,"marginal: SBC 90x62 vs deck 100x60 mm (-2 mm) — snug/custom deck, slight overhang",1397.98,171.0,1568.98,True,True,False
6,30.55,49.2,AF3a,iFlight Chimera9 ECO,Upgrade Energy GREEN V2 6S2P 8Ah Amprius SA10,6,1447.7,12.3,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),Monster UVC Recorder (standalone USB-UVC DVR) (DVR9),included with airframe,included with airframe,included with airframe,GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,fits,110x70,90x62,top,fits (SBC on a raised tier; battery on deck) — 8 mm spare,1439.98,171.0,1610.98,True,True,False
7,30.42,45.2,AF4a,DarwinFPV X9,GNB (Gaoneng) 6S3P 12Ah 21700 Li-ion,6,2102.7,16.2,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),Monster UVC Recorder (standalone USB-UVC DVR) (DVR9),included with airframe,included with airframe,TBS M10 GPS (G6),GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,marginal,100x60,90x62,top,"marginal: SBC 90x62 vs deck 100x60 mm (-2 mm) — snug/custom deck, slight overhang",1313.98,171.0,1484.98,True,True,False
8,30.07,45.9,AF4a,DarwinFPV X9,Lumenier NAV 10000mAh 6S 21700 Li-Ion,6,1827.7,14.1,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),Monster UVC Recorder (standalone USB-UVC DVR) (DVR9),included with airframe,included with airframe,TBS M10 GPS (G6),GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,marginal,100x60,90x62,top,"marginal: SBC 90x62 vs deck 100x60 mm (-2 mm) — snug/custom deck, slight overhang",1353.97,171.0,1524.97,True,True,False
9,30.03,45.8,AF3a,iFlight Chimera9 ECO,GNB (Gaoneng) 6S3P 12Ah 21700 Li-ion,6,2080.7,17.7,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),Monster UVC Recorder (standalone USB-UVC DVR) (DVR9),included with airframe,included with airframe,included with airframe,GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,fits,110x70,90x62,top,fits (SBC on a raised tier; battery on deck) — 8 mm spare,1355.98,171.0,1526.98,True,True,False
10,29.83,48.5,AF4a,DarwinFPV X9,Upgrade Energy RED V3 6S2P 10Ah Molicel P50B,6,1720.7,13.3,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),Monster UVC Recorder (standalone USB-UVC DVR) (DVR9),included with airframe,included with airframe,TBS M10 GPS (G6),GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,marginal,100x60,90x62,top,"marginal: SBC 90x62 vs deck 100x60 mm (-2 mm) — snug/custom deck, slight overhang",1455.98,171.0,1626.98,True,True,False
